Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Razor Beast";;;RUB;4990;1;5990;3999;105;;;;;"Beast (англ. ""зверь) - новый экстремальный самокат от  Razor, выпущенный в 2013 году. Beast объединяет в себе агрессию во внешнем виде, руль в стиле BMX и полную готовность к новым трюкам. Этот самокат подойдет как  для новичков, желающих освоить больше экстремальных трюков, так и для опытных райдеров, ищущих базу для супер-кастома. Летом 2013 года самокат Beast доступен по очень привлекательной цене - всего 4'990р!";;1;Самокаты;{Razor,экстрим};;Beast;Beast;Beast;beast;;;;<{синий,красный}>;;;;;;;;;;;;;;;;;;;;;;;;;;"100 мм";;;;"Авиационный алюминий";Полиуретан;;"54 см";"100 мм";"485 мм";"100 кг";"3.38 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/423/423.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/416/416.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/417/417.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/418/418.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/419/419.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/420/420.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/421/421.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/422/422.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Beast";Синий;R8502534b;RUB;4990;1;5990;3999;51;1;15;35;;"Beast (англ. ""зверь) - новый экстремальный самокат от  Razor, выпущенный в 2013 году. Beast объединяет в себе агрессию во внешнем виде, руль в стиле BMX и полную готовность к новым трюкам. Этот самокат подойдет как  для новичков, желающих освоить больше экстремальных трюков, так и для опытных райдеров, ищущих базу для супер-кастома. Летом 2013 года самокат Beast доступен по очень привлекательной цене - всего 4'990р!";;1;Самокаты;{Razor,экстрим};;Beast;Beast;Beast;beast;;;;синий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/423/423.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/416/416.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/417/417.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/418/418.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/419/419.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/420/420.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/421/421.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/78/01/178/images/422/422.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Beast";Красный;R8502534r;RUB;4990;1;5999;3999;54;4;35;15;;;;1;Самокаты;;;;;;beast;;;;красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Black Label 3.0";"Black Label 3.0";R8508126;RUB;6000;1;6660;5900;;;17;33;;;;1;Самокаты;{Razor,экстрим};;"Black Label 3.0";"Black Label 3.0";"Black Label 3.0";black-label-3-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;Сплав;Полиуретан;;;"108 мм";"520 мм";"100 кг";"4.6 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/71/01/171/images/442/442.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Black Label 4.0";"Black Label 4.0";R8508127;RUB;8980;1;9500;6500;;;19;31;;;;1;Самокаты;{Razor,экстрим};;"Black Label 4.0";"Black Label 4.0";"Black Label 4.0";black-label-4.0;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;Хром-молибден;Полиуретан;;"53 см";"97 мм";"520 мм";"110 кг";"4.6 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/69/01/169/images/440/440.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Black Label Pro Model";"Black Label Pro Model";R8276309;RUB;0;1;0;0;0;;;;;;;1;Самокаты;Razor;;"Black Label Pro Model";"Black Label Pro Model";"Black Label Pro Model";black-label-pro-model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ножной;;;Алюминий;Полиуретан;;;;;"80 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/72/01/172/images/443/443.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Black Label Ultra Pro Lo";"Black Label Ultra Pro Lo";R8276310;RUB;0;1;0;0;0;;;;;;;1;Самокаты;Razor;;"Black Label Ultra Pro Lo";"Black Label Ultra Pro Lo";"Black Label Ultra Pro Lo";black-label-ultra-pro-lo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ножной;;;Алюминий;Полиуретан;;"53 см";;;"100 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/73/01/173/images/444/444.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Phase Two Jason Beggs";"Phase Two Jason Beggs";R8508134;RUB;14990;1;15000;14599;;;16;34;;"<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/CgZQhtqKo8s"" frameborder=""0"" allowfullscreen=""""></iframe>";;1;Самокаты;{Razor,экстрим};;"Phase Two Jason Beggs";"Phase Two Jason Beggs";"Phase Two Jason Beggs";phase-two-jason-beggs;;;;бело-зеленый;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;Хром-молибден;Полиуретан;;"63 см";"110 мм";"520 мм";"120 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/77/01/177/images/415/415.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Phase Two John Radtke";"Phase Two John Radtke";R8508135;RUB;15000;1;15990;14500;;;18;32;;;;1;Самокаты;Razor;;"Phase Two John Radtke";"Phase Two John Radtke";"Phase Two John Radtke";phase-two-john-radtke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;Сплав;Полиуретан;;"60 см";"110 мм";"520 мм";"120 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/70/01/170/images/441/441.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro Model";;;RUB;3390;1;0;0;196;;;;;"<p>Самокаты серии PRO &mdash; гордость Razor. Два узла в них обладают патентами, которые вынуждены перекупать конкуренты, чтобы использовать технологию Razor. Cкутеры серии PRO признаны лучшими в своей категории. Pro Model&trade; &mdash; неубиваемый самокат, одинаково подходящий для перемещений по городу и трюков.Если Вы хотите чего-то большего: ещё большей прочности, ещё большего стиля, то мы предлагаем Вам более профессиональный самокат из серии PRO &mdash; Ultra Pro Lo - это не менее легендарная модель, которая заслуживает Вашего внимания!</p><iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/_d28Va4lswA"" frameborder=""0""></iframe>";;1;Самокаты;Razor;;"Pro Model";"Pro Model";"Pro Model";pro-model;;;;"<{металлик на красных колесах,металлик на прозрачных колесах}>";;;;;;;;;;;;;;;;;;;;;;;;;;"98 мм";Ножной;;;"Авиационный алюминий";Полиуретан;;"66 см";;;"100 кг";"3.8 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/64/01/164/images/426/426.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/64/01/164/images/425/425.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro Model";"Металлик на красных колесах";R73484631;RUB;3390;1;0;0;93;43;24;26;;"<p>Самокаты серии PRO &mdash; гордость Razor. Два узла в них обладают патентами, которые вынуждены перекупать конкуренты, чтобы использовать технологию Razor. Cкутеры серии PRO признаны лучшими в своей категории. Pro Model&trade; &mdash; неубиваемый самокат, одинаково подходящий для перемещений по городу и трюков.Если Вы хотите чего-то большего: ещё большей прочности, ещё большего стиля, то мы предлагаем Вам более профессиональный самокат из серии PRO &mdash; Ultra Pro Lo - это не менее легендарная модель, которая заслуживает Вашего внимания!</p><iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/_d28Va4lswA"" frameborder=""0""></iframe>";;1;Самокаты;Razor;;"Pro Model";"Pro Model";"Pro Model";pro-model;;;;"металлик на красных колесах";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/64/01/164/images/426/426.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/64/01/164/images/425/425.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro Model";"Металлик на прозрачных колесах";R73484632;RUB;3390;1;0;0;103;53;24;26;;;;1;Самокаты;;;;;;pro-model;;;;"металлик на прозрачных колесах";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro X";;;RUB;4900;1;5900;3999;219;;;;;"Самокаты серии PRO — гордость конструкторов Razor. Экстремальный самокат Pro X - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочностью, даже для больших скейт-парков! Также стоит отметить, что этот самокат не складывается, а имеет жесткую деку, чтобы выдержать любое усилие при исполнение трюков.";;1;Самокаты;Razor;;"Pro X";"Pro X";"Pro X";pro-x;;;;<{пурпурный,зеленый,серебряный}>;;;;;;;;;;;;;;;;;;;;;;;;;;"98 мм";Ножной;;;"Авиационный алюминий";Полиуретан;;"55 см";"100 мм";"485 мм";"100 кг";"4.7 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/432/432.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/431/431.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/433/433.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/434/434.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro X";Пурпурный;R8276292p;RUB;4900;1;5900;3999;75;25;22;28;;"Самокаты серии PRO — гордость конструкторов Razor. Экстремальный самокат Pro X - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочностью, даже для больших скейт-парков! Также стоит отметить, что этот самокат не складывается, а имеет жесткую деку, чтобы выдержать любое усилие при исполнение трюков.";;1;Самокаты;Razor;;"Pro X";"Pro X";"Pro X";pro-x;;;;пурпурный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/432/432.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/431/431.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/433/433.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/66/01/166/images/434/434.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro X";Серебряный;R8276292s;RUB;4900;1;5900;3999;94;44;22;28;;;;1;Самокаты;;;;;;pro-x;;;;серебряный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro X";Зеленый;R8276292g;RUB;4900;1;5900;3999;50;0;22;28;;;;1;Самокаты;;;;;;pro-x;;;;зеленый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XX";;;RUB;5800;1;7000;4800;190;;;;;"Самокаты серии PRO &mdash; гордость конструкторов Razor. Экстремальный самокат Pro XX - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочностью, даже для больших скейт-парков! Также стоит отметить, что этот самокат не складывается, а имеет жесткую деку, чтобы выдержать любое усилие при исполнение трюков.";;1;Самокаты;{Razor,экстрим};;"Pro XX";"Pro XX";"Pro XX";pro-xx;;;;<{красный,серебряный}>;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;"Авиационный алюминий";Полиуретан;;"53.3 см";"97 мм";"520 мм";"100 кг";"3 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/68/01/168/images/437/437.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/68/01/168/images/439/439.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XX";Красный;;RUB;5800;1;7000;4800;94;43;24;27;;"Самокаты серии PRO &mdash; гордость конструкторов Razor. Экстремальный самокат Pro XX - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочностью, даже для больших скейт-парков! Также стоит отметить, что этот самокат не складывается, а имеет жесткую деку, чтобы выдержать любое усилие при исполнение трюков.";;1;Самокаты;{Razor,экстрим};;"Pro XX";"Pro XX";"Pro XX";pro-xx;;;;красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/68/01/168/images/437/437.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/68/01/168/images/439/439.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XX";Серебряный;;RUB;5800;1;7000;4800;96;43;27;26;;;;1;Самокаты;;;;;;pro-xx;;;;серебряный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XXX";;;RUB;7990;1;8990;5800;289;;;;;"<p>Самокаты серии PRO &mdash; гордость Razor. Экстремальный самокат Pro XXX - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочности, даже для больших скейт-парков! Так же стоит отметить, что этот самокат не складывается, а имеет жёсткую деку, чтобы все Ваши максимальные усилия были уделены трюкам и безопасности.</p><iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/yFhxuB5Ehbg"" frameborder=""0"" allowfullscreen=""""></iframe>";;1;Самокаты;{Razor,экстрим};;"Pro XXX";"Pro XXX";"Pro XXX";pro-xxx;;;;<{черный,белый,серебряный}>;;;;;;;;;;;;;;;;;;;;;;;;;;"110 мм";Ножной;;;"Авиационный алюминий";;;"53.3 см";"97 мм";"520 мм";"100 кг";"3.5 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/430/430.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/428/428.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/427/427.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/429/429.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XXX";Черный;R8276293b;RUB;7990;1;8990;5800;93;43;23;27;;"<p>Самокаты серии PRO &mdash; гордость Razor. Экстремальный самокат Pro XXX - это идеальный баланс между лёгкостью всей алюминиевой конструкции и предельной прочности, даже для больших скейт-парков! Так же стоит отметить, что этот самокат не складывается, а имеет жёсткую деку, чтобы все Ваши максимальные усилия были уделены трюкам и безопасности.</p><iframe width=""420"" height=""315"" src=""//www.youtube.com/embed/yFhxuB5Ehbg"" frameborder=""0"" allowfullscreen=""""></iframe>";;1;Самокаты;{Razor,экстрим};;"Pro XXX";"Pro XXX";"Pro XXX";pro-xxx;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/430/430.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/428/428.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/427/427.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/65/01/165/images/429/429.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XXX";Серебряный;R8276293s;RUB;7990;1;8900;5800;93;43;23;27;;;;1;Самокаты;;;;;;pro-xxx;;;;серебряный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Pro XXX";Белый;R8276293w;RUB;7990;1;8990;5880;103;53;23;27;;;;1;Самокаты;;;;;;pro-xxx;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Storm Pro DLX";"Storm Pro DLX";R8276317;RUB;0;1;0;0;0;;;;;;;1;Самокаты;Razor;;"Storm Pro DLX";"Storm Pro DLX";"Storm Pro DLX";storm-pro-dlx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ножной;;;Сплав;Полиуретан;;;;;"100 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/75/01/175/images/413/413.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Storm Ultra Pro";"Storm Ultra Pro";R8276315;RUB;0;1;0;0;0;;;;;;;1;Самокаты;Razor;;"Storm Ultra Pro";"Storm Ultra Pro";"Storm Ultra Pro";storm-ultra-pro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ножной;;;Алюминий;Полиуретан;;;;;"100 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/74/01/174/images/445/445.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor Ultra Pro Lo";"Ultra Pro Lo";R7348465;RUB;4490;1;4990;4190;;;21;29;;"<p>Ultra Pro™ — для хардкорного катания! Самый прочный самокат от Razor®. Разработан командой про-райдеров Razor Team. Все просто: нет трюка, который невозможен с Razor Ultra Pro® и нет трюка, после которого Ultra Pro® откажется катить дальше. Внимание! У этой модели нет аналогов. ПРО-райдеры выбирают Ultra Pro®. Только Razor!</p><iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/XO4h1NOW7Pw"" frameborder=""0"" allowfullscreen></iframe>";;1;Самокаты;Razor;;"Ultra Pro Lo";"Ultra Pro Lo";"Ultra Pro Lo";ultra-pro-lo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98 мм";Ножной;;;"Авиационный алюминий";Полиуретан;;;;;"100 кг";"3.1 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/67/01/167/images/435/435.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Xootr;;;;;;;;;;;;;;;1;;;;;Xootr;Xootr;xootr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
